date,smp_mean
2019-06-08,150.12
2019-06-09,145.95
2019-06-10,154.07
2019-06-11,144.27
2019-06-12,145.67
2019-06-13,153.81
2019-06-14,151.72
2019-06-15,146.89
2019-06-16,145.13
2019-06-17,187.17
2019-06-18,207.73
2019-06-19,211.85
2019-06-20,214.56
2019-06-21,214.8
2019-06-22,196.74
2019-06-23,181.62
2019-06-24,184.91
2019-06-25,170.25
2019-06-26,157.31
2019-06-27,151.08
2019-06-28,154.48
2019-06-29,153.88
2019-06-30,152.35
2019-07-01,160.04
2019-07-02,157.4
2019-07-03,155.5
2019-07-04,164.76
2019-07-05,157.6
2019-07-06,160.09
2019-07-07,159.54
2019-07-08,187.12
2019-07-09,156.87
2019-07-10,157.51
2019-07-11,155.71
2019-07-12,158.54
2019-07-13,156.47
2019-07-14,158.25
2019-07-15,157.7
2019-07-16,155.77
2019-07-17,159.14
2019-07-18,175.32
2019-07-19,172.2
2019-07-20,160.55
2019-07-21,160.63
2019-07-22,174.43
2019-07-23,167.3
2019-07-24,168.8
2019-07-25,188.49
2019-07-26,184.8
2019-07-27,153.05
2019-07-28,156.41
2019-07-29,157.88
2019-07-30,160.05
2019-07-31,163.09
2019-08-01,164.78
2019-08-02,163.05
2019-08-03,162.28
2019-08-04,160.94
2019-08-05,173.78
2019-08-06,177.38
2019-08-07,181.13
2019-08-08,181.09
2019-08-09,179.34
2019-08-10,171.37
2019-08-11,160.17
2019-08-12,174.33
2019-08-13,174.1
2019-08-14,164.25
2019-08-15,171.91
2019-08-16,163.58
2019-08-17,162.44
2019-08-18,159.75
2019-08-19,164.33
2019-08-20,161.4
2019-08-21,164.1
2019-08-22,162.48
2019-08-23,161.02
2019-08-24,161.28
2019-08-25,160.93
2019-08-26,162.1
2019-08-27,161.24
2019-08-28,161.82
2019-08-29,163.09
2019-08-30,165.24
2019-08-31,161.38
2019-09-01,168.05
2019-09-02,169.32
2019-09-03,169.06
2019-09-04,180.7
2019-09-05,181.7
2019-09-06,173.46
2019-09-07,166.85
2019-09-08,167.43
2019-09-09,167.3
2019-09-10,166.34
2019-09-11,164.68
2019-09-12,165.9
2019-09-13,163.48
2019-09-14,168.55
2019-09-15,166.6
2019-09-16,168.8
2019-09-17,167.1
2019-09-18,167.77
2019-09-19,167.11
2019-09-20,167.03
2019-09-21,158.94
2019-09-22,164.08
2019-09-23,168.43
2019-09-24,167.83
2019-09-25,166.66
2019-09-26,167.82
2019-09-27,161.72
2019-09-28,167.86
2019-09-29,161.98
2019-09-30,167.6
2019-10-01,170.75
2019-10-02,168.01
2019-10-03,166.95
2019-10-04,168.94
2019-10-05,169.4
2019-10-06,170.99
2019-10-07,164.39
2019-10-08,170.77
2019-10-09,168.72
2019-10-10,166.69
2019-10-11,158.37
2019-10-12,172.52
2019-10-13,166.51
2019-10-14,161
2019-10-15,166.74
2019-10-16,166.46
2019-10-17,163.73
2019-10-18,162.1
2019-10-19,146.69
2019-10-20,161.69
2019-10-21,158.68
2019-10-22,162.16
2019-10-23,150.39
2019-10-24,154.91
2019-10-25,160.69
2019-10-26,140.82
2019-10-27,148.24
2019-10-28,157.74
2019-10-29,165.8
2019-10-30,145.03
2019-10-31,155.29
2019-11-01,154.36
2019-11-02,150.42
2019-11-03,132.54
2019-11-04,154.57
2019-11-05,162.17
2019-11-06,166.34
2019-11-07,167.18
2019-11-08,164.59
2019-11-09,158.2
2019-11-10,153.95
2019-11-11,162.04
2019-11-12,157.91
2019-11-13,132.13
2019-11-14,139.1
2019-11-15,163.85
2019-11-16,165.92
2019-11-17,162.87
2019-11-18,165.05
2019-11-19,161.75
2019-11-20,162
2019-11-21,149.04
2019-11-22,153.25
2019-11-23,136.62
2019-11-24,130.44
2019-11-25,163.62
2019-11-26,160.66
2019-11-27,150.38
2019-11-28,137.97
2019-11-29,142.01
2019-11-30,137.03
2019-12-01,169.78
2019-12-02,145.26
2019-12-03,139.33
2019-12-04,137.73
2019-12-05,147.1
2019-12-06,164.24
2019-12-07,160.68
2019-12-08,151.54
2019-12-09,153.32
2019-12-10,145.43
2019-12-11,148.62
2019-12-12,141.82
2019-12-13,122.79
2019-12-14,107.72
2019-12-15,109.63
2019-12-16,124.52
2019-12-17,107.8
2019-12-18,113.87
2019-12-19,115.52
2019-12-20,113.8
2019-12-21,104.44
2019-12-22,99.62
2019-12-23,99.13
2019-12-24,130.21
2019-12-25,91.86
2019-12-26,98.85
2019-12-27,138.92
2019-12-28,131.05
2019-12-29,121.39
2019-12-30,111.14
2019-12-31,121.19
2020-01-01,107.36
2020-01-02,120.82
2020-01-03,115.41
2020-01-04,111.94
2020-01-05,115.54
2020-01-06,114.33
2020-01-07,88.47
2020-01-08,88.71
2020-01-09,109.34
2020-01-10,113.74
2020-01-11,109.24
2020-01-12,95.92
2020-01-13,131.02
2020-01-14,107.74
2020-01-15,114.96
2020-01-16,123.36
2020-01-17,106.64
2020-01-18,106
2020-01-19,106.77
2020-01-20,112.4
2020-01-21,123.61
2020-01-22,126
2020-01-23,111.6
2020-01-24,95.86
2020-01-25,99.77
2020-01-26,88.38
2020-01-27,94.07
2020-01-28,103.05
2020-01-29,109.21
2020-01-30,112.85
2020-01-31,117.22
2020-02-01,145.08
2020-02-02,105.99
2020-02-03,116.21
2020-02-04,121.4
2020-02-05,114.89
2020-02-06,120.97
2020-02-07,123.62
2020-02-08,93.72
2020-02-09,93.66
2020-02-10,113.48
2020-02-11,121.86
2020-02-12,109.97
2020-02-13,111.64
2020-02-14,103.99
2020-02-15,97.63
2020-02-16,85.7
2020-02-17,85.15
2020-02-18,115.3
2020-02-19,127.68
2020-02-20,116.47
2020-02-21,137.03
2020-02-22,93.11
2020-02-23,120.64
2020-02-24,88.62
2020-02-25,88.74
2020-02-26,99.48
2020-02-27,103.72
2020-02-28,124.59
2020-02-29,114.51
2020-03-01,95.31
2020-03-02,94.48
2020-03-03,106.85
2020-03-04,87.07
2020-03-05,102.69
2020-03-06,113.25
2020-03-07,104.61
2020-03-08,90.18
2020-03-09,93.23
2020-03-10,87.07
2020-03-11,102.5
2020-03-12,114.02
2020-03-13,97.6
2020-03-14,93.38
2020-03-15,90.06
2020-03-16,129.39
2020-03-17,122.75
2020-03-18,127.3
2020-03-19,98.71
2020-03-20,115.6
2020-03-21,113.12
2020-03-22,121.06
2020-03-23,127.58
2020-03-24,130.02
2020-03-25,115.76
2020-03-26,112.05
2020-03-27,95.49
2020-03-28,126.56
2020-03-29,133.76
2020-03-30,149.84
2020-03-31,129.67
2020-04-01,103.77
2020-04-02,124.76
2020-04-03,117.84
2020-04-04,98.3
2020-04-05,83.48
2020-04-06,124.51
2020-04-07,125.01
2020-04-08,125.72
2020-04-09,131.84
2020-04-10,132.1
2020-04-11,146.26
2020-04-12,108.81
2020-04-13,106.6
2020-04-14,131.06
2020-04-15,146.15
2020-04-16,106.1
2020-04-17,101.41
2020-04-18,125.79
2020-04-19,137.23
2020-04-20,124.68
2020-04-21,95.35
2020-04-22,140.42
2020-04-23,152.09
2020-04-24,171.41
2020-04-25,142.22
2020-04-26,184.07
2020-04-27,183.84
2020-04-28,187.98
2020-04-29,143.61
2020-04-30,83.45
2020-05-01,90.9
2020-05-02,87.19
2020-05-03,122.29
2020-05-04,105.27
2020-05-05,124.66
2020-05-06,149.9
2020-05-07,123.61
2020-05-08,102.19
2020-05-09,86.75
2020-05-10,92.97
2020-05-11,131.47
2020-05-12,103.17
2020-05-13,111.68
2020-05-14,100.46
2020-05-15,102.38
2020-05-16,121.19
2020-05-17,116.82
2020-05-18,98.98
